model,target,fold,held_out_pid,n_train_rows,n_test_rows,mae,r2
baseline_demo_ridge,sis,1,1,952,56,1.4943,-0.6516
baseline_demo_ridge,ohs,1,1,952,56,13.7505,-126.0499
baseline_demo_ridge,oks,1,1,952,56,11.4444,-3.3158
baseline_naive_mean,sis,1,1,952,56,1.0735,-0.0144
baseline_naive_mean,ohs,1,1,952,56,2.2941,-3.5087
baseline_naive_mean,oks,1,1,952,56,5.0,-0.1402
baseline_demo_ridge,sis,2,2,952,56,5.1259,-3.8925
baseline_demo_ridge,ohs,2,2,952,56,26.325,-187.9339
baseline_demo_ridge,oks,2,2,952,56,4.7677,-3.1626
baseline_naive_mean,sis,2,2,952,56,3.5588,-1.8763
baseline_naive_mean,ohs,2,2,952,56,9.4412,-24.1724
baseline_naive_mean,oks,2,2,952,56,13.7941,-26.4734
baseline_demo_ridge,sis,3,3,952,56,3.5829,-18.6727
baseline_demo_ridge,ohs,3,3,952,56,4.7335,0.0
baseline_demo_ridge,oks,3,3,952,56,19.4171,0.0
baseline_naive_mean,sis,3,3,952,56,0.9412,-1.2885
baseline_naive_mean,ohs,3,3,952,56,0.1765,0.0
baseline_naive_mean,oks,3,3,952,56,18.8235,0.0
baseline_demo_ridge,sis,4,4,952,56,7.2617,-281.2398
baseline_demo_ridge,ohs,4,4,952,56,16.9202,-190.8631
baseline_demo_ridge,oks,4,4,952,56,10.1462,-14.1994
baseline_naive_mean,sis,4,4,952,56,2.0,-21.3333
baseline_naive_mean,ohs,4,4,952,56,13.5882,-123.0934
baseline_naive_mean,oks,4,4,952,56,9.2353,-11.7642
baseline_demo_ridge,sis,5,5,952,56,10.6675,-455.1858
baseline_demo_ridge,ohs,5,5,952,56,15.226,-12.0824
baseline_demo_ridge,oks,5,5,952,56,13.7369,-51.1736
baseline_naive_mean,sis,5,5,952,56,4.9118,-96.5017
baseline_naive_mean,ohs,5,5,952,56,12.7941,-8.531
baseline_naive_mean,oks,5,5,952,56,15.3824,-64.1673
baseline_demo_ridge,sis,6,6,952,56,4.0722,-9.8269
baseline_demo_ridge,ohs,6,6,952,56,13.7574,-7.7251
baseline_demo_ridge,oks,6,6,952,56,16.628,-12.2884
baseline_naive_mean,sis,6,6,952,56,1.3456,-0.5249
baseline_naive_mean,ohs,6,6,952,56,6.1765,-1.5571
baseline_naive_mean,oks,6,6,952,56,3.5882,-0.0301
baseline_demo_ridge,sis,7,7,952,56,5.6943,-4.218
baseline_demo_ridge,ohs,7,7,952,56,4.6789,-3.8491
baseline_demo_ridge,oks,7,7,952,56,6.0737,-49.1858
baseline_naive_mean,sis,7,7,952,56,2.7647,-0.9943
baseline_naive_mean,ohs,7,7,952,56,5.3824,-5.0936
baseline_naive_mean,oks,7,7,952,56,1.3529,-2.4406
baseline_demo_ridge,sis,8,8,952,56,4.6657,-2.5611
baseline_demo_ridge,ohs,8,8,952,56,3.4109,-1.0617
baseline_demo_ridge,oks,8,8,952,56,6.8422,-9.0247
baseline_naive_mean,sis,8,8,952,56,3.0294,-1.0797
baseline_naive_mean,ohs,8,8,952,56,5.4706,-3.9903
baseline_naive_mean,oks,8,8,952,56,4.2059,-3.41
baseline_demo_ridge,sis,9,9,952,56,3.7132,-2.9414
baseline_demo_ridge,ohs,9,9,952,56,23.2187,-196.0388
baseline_demo_ridge,oks,9,9,952,56,12.236,-99.8138
baseline_naive_mean,sis,9,9,952,56,2.7426,-1.0659
baseline_naive_mean,ohs,9,9,952,56,10.2353,-38.095
baseline_naive_mean,oks,9,9,952,56,9.7647,-63.5663
baseline_demo_ridge,sis,10,10,952,56,5.3491,-22.8902
baseline_demo_ridge,ohs,10,10,952,56,12.2663,-5.144
baseline_demo_ridge,oks,10,10,952,56,4.1217,-0.4026
baseline_naive_mean,sis,10,10,952,56,4.6176,-17.0581
baseline_naive_mean,ohs,10,10,952,56,9.1765,-2.8789
baseline_naive_mean,oks,10,10,952,56,4.1765,-0.4429
baseline_demo_ridge,sis,11,11,952,56,6.3481,-7.3269
baseline_demo_ridge,ohs,11,11,952,56,17.85,-57.9312
baseline_demo_ridge,oks,11,11,952,56,11.7318,-8.2478
baseline_naive_mean,sis,11,11,952,56,5.1471,-4.8168
baseline_naive_mean,ohs,11,11,952,56,17.8235,-57.7597
baseline_naive_mean,oks,11,11,952,56,15.3824,-14.1793
baseline_demo_ridge,sis,12,12,952,56,3.5777,-68.268
baseline_demo_ridge,ohs,12,12,952,56,6.25,-0.0211
baseline_demo_ridge,oks,12,12,952,56,4.25,-0.0958
baseline_naive_mean,sis,12,12,952,56,5.1765,-142.9112
baseline_naive_mean,ohs,12,12,952,56,6.25,-0.2183
baseline_naive_mean,oks,12,12,952,56,9.5,-3.146
baseline_demo_ridge,sis,13,13,952,56,12.5004,-33.3357
baseline_demo_ridge,ohs,13,13,952,56,7.3551,-12.0215
baseline_demo_ridge,oks,13,13,952,56,10.8281,-7.6883
baseline_naive_mean,sis,13,13,952,56,2.875,-0.8533
baseline_naive_mean,ohs,13,13,952,56,1.5882,-0.0069
baseline_naive_mean,oks,13,13,952,56,4.4853,-0.7898
baseline_demo_ridge,sis,14,14,952,56,3.4605,-11.9748
baseline_demo_ridge,ohs,14,14,952,56,3.6762,-0.9874
baseline_demo_ridge,oks,14,14,952,56,9.7524,-43.4787
baseline_naive_mean,sis,14,14,952,56,2.2647,-5.1289
baseline_naive_mean,ohs,14,14,952,56,2.75,-0.3009
baseline_naive_mean,oks,14,14,952,56,10.0294,-45.9836
baseline_demo_ridge,sis,15,15,952,56,11.8217,-20.8978
baseline_demo_ridge,ohs,15,15,952,56,15.7388,-113.2381
baseline_demo_ridge,oks,15,15,952,56,16.8106,-129.1865
