model,target,fold,held_out_pid,n_train_rows,n_test_rows,mae,r2
baseline_demo_ridge,sis,1,1,952,56,1.4943,-0.6516
baseline_demo_ridge,ohs,1,1,952,56,13.7505,-126.0499
baseline_demo_ridge,oks,1,1,952,56,11.4444,-3.3158
baseline_naive_mean,sis,1,1,952,56,1.0735,-0.0144
baseline_naive_mean,ohs,1,1,952,56,2.2941,-3.5087
baseline_naive_mean,oks,1,1,952,56,5.0,-0.1402
ridge_sensor_demo,sis,1,1,952,56,5.5505,-22.0393
ridge_sensor_demo,ohs,1,1,952,56,15.5803,-190.606
ridge_sensor_demo,oks,1,1,952,56,32.6973,-28.5921
tuned_ridge,sis,1,1,952,56,4.6132,-15.9747
tuned_ridge,ohs,1,1,952,56,15.5803,-190.606
tuned_ridge,oks,1,1,952,56,28.0945,-22.3502
tuned_elasticnet,sis,1,1,952,56,1.1259,-0.0488
tuned_elasticnet,ohs,1,1,952,56,1.9246,-2.266
tuned_elasticnet,oks,1,1,952,56,5.1876,-0.1387
rf,sis,1,1,952,56,1.9689,-2.3843
rf,ohs,1,1,952,56,16.1947,-175.3282
rf,oks,1,1,952,56,17.1061,-7.4254
lgbm,sis,1,1,952,56,2.0928,-3.0744
lgbm,ohs,1,1,952,56,17.2139,-197.9312
lgbm,oks,1,1,952,56,16.7927,-7.3465
baseline_demo_ridge,sis,2,2,952,56,5.1259,-3.8925
baseline_demo_ridge,ohs,2,2,952,56,26.325,-187.9339
baseline_demo_ridge,oks,2,2,952,56,4.7677,-3.1626
baseline_naive_mean,sis,2,2,952,56,3.5588,-1.8763
baseline_naive_mean,ohs,2,2,952,56,9.4412,-24.1724
baseline_naive_mean,oks,2,2,952,56,13.7941,-26.4734
ridge_sensor_demo,sis,2,2,952,56,7.8099,-13.8742
ridge_sensor_demo,ohs,2,2,952,56,31.4469,-300.7812
ridge_sensor_demo,oks,2,2,952,56,8.3221,-12.6571
tuned_ridge,sis,2,2,952,56,8.0507,-13.4983
tuned_ridge,ohs,2,2,952,56,14.6376,-68.0164
tuned_ridge,oks,2,2,952,56,11.8306,-22.4785
tuned_elasticnet,sis,2,2,952,56,3.7737,-2.3041
tuned_elasticnet,ohs,2,2,952,56,9.4404,-25.0097
tuned_elasticnet,oks,2,2,952,56,13.547,-27.6989
rf,sis,2,2,952,56,5.024,-3.2895
rf,ohs,2,2,952,56,16.5619,-78.2025
rf,oks,2,2,952,56,8.5525,-9.8872
lgbm,sis,2,2,952,56,4.6341,-2.7903
lgbm,ohs,2,2,952,56,16.9432,-86.8017
lgbm,oks,2,2,952,56,8.9694,-11.9891
baseline_demo_ridge,sis,3,3,952,56,3.5829,-18.6727
baseline_demo_ridge,ohs,3,3,952,56,4.7335,0.0
baseline_demo_ridge,oks,3,3,952,56,19.4171,0.0
baseline_naive_mean,sis,3,3,952,56,0.9412,-1.2885
baseline_naive_mean,ohs,3,3,952,56,0.1765,0.0
baseline_naive_mean,oks,3,3,952,56,18.8235,0.0
ridge_sensor_demo,sis,3,3,952,56,2.1412,-9.8076
ridge_sensor_demo,ohs,3,3,952,56,11.6261,0.0
ridge_sensor_demo,oks,3,3,952,56,18.6056,0.0
tuned_ridge,sis,3,3,952,56,2.0341,-7.6551
tuned_ridge,ohs,3,3,952,56,4.4553,0.0
tuned_ridge,oks,3,3,952,56,18.5293,0.0
tuned_elasticnet,sis,3,3,952,56,1.0362,-1.5473
tuned_elasticnet,ohs,3,3,952,56,0.3284,0.0
tuned_elasticnet,oks,3,3,952,56,19.5215,0.0
rf,sis,3,3,952,56,2.283,-10.8575
rf,ohs,3,3,952,56,3.2709,0.0
rf,oks,3,3,952,56,17.7726,0.0
lgbm,sis,3,3,952,56,2.4106,-11.4462
lgbm,ohs,3,3,952,56,3.9332,0.0
lgbm,oks,3,3,952,56,16.8788,0.0
baseline_demo_ridge,sis,4,4,952,56,7.2617,-281.2398
baseline_demo_ridge,ohs,4,4,952,56,16.9202,-190.8631
baseline_demo_ridge,oks,4,4,952,56,10.1462,-14.1994
baseline_naive_mean,sis,4,4,952,56,2.0,-21.3333
baseline_naive_mean,ohs,4,4,952,56,13.5882,-123.0934
baseline_naive_mean,oks,4,4,952,56,9.2353,-11.7642
ridge_sensor_demo,sis,4,4,952,56,3.7437,-89.1027
ridge_sensor_demo,ohs,4,4,952,56,30.3169,-623.7176
ridge_sensor_demo,oks,4,4,952,56,7.547,-9.8378
tuned_ridge,sis,4,4,952,56,3.2596,-65.1186
tuned_ridge,ohs,4,4,952,56,19.5545,-261.9702
tuned_ridge,oks,4,4,952,56,8.674,-12.7093
tuned_elasticnet,sis,4,4,952,56,2.0852,-23.1618
tuned_elasticnet,ohs,4,4,952,56,14.1341,-133.1968
tuned_elasticnet,oks,4,4,952,56,8.39,-9.7287
rf,sis,4,4,952,56,2.8805,-45.2238
rf,ohs,4,4,952,56,13.133,-117.6936
rf,oks,4,4,952,56,7.0011,-7.8851
lgbm,sis,4,4,952,56,2.1719,-26.4891
lgbm,ohs,4,4,952,56,12.9678,-122.4219
lgbm,oks,4,4,952,56,5.1526,-4.0487
baseline_demo_ridge,sis,5,5,952,56,10.6675,-455.1858
baseline_demo_ridge,ohs,5,5,952,56,15.226,-12.0824
baseline_demo_ridge,oks,5,5,952,56,13.7369,-51.1736
baseline_naive_mean,sis,5,5,952,56,4.9118,-96.5017
baseline_naive_mean,ohs,5,5,952,56,12.7941,-8.531
baseline_naive_mean,oks,5,5,952,56,15.3824,-64.1673
ridge_sensor_demo,sis,5,5,952,56,7.5125,-255.6956
ridge_sensor_demo,ohs,5,5,952,56,25.2562,-36.1833
ridge_sensor_demo,oks,5,5,952,56,14.4419,-72.6966
tuned_ridge,sis,5,5,952,56,9.9507,-433.9866
