model,target,fold,held_out_pid,mae,r2
baseline_naive_mean,sis_delta,1,1,1.2647,-1.0663
baseline_naive_mean,ohs_delta,1,1,2.2941,-3.5087
baseline_naive_mean,oks_delta,1,1,5.0,-0.1854
tuned_ridge,sis_delta,1,1,1.7433,-1.7721
tuned_ridge,ohs_delta,1,1,3.6842,-11.5778
tuned_ridge,oks_delta,1,1,6.628,-0.9083
tuned_elasticnet,sis_delta,1,1,1.2701,-1.0895
tuned_elasticnet,ohs_delta,1,1,2.3901,-3.8093
tuned_elasticnet,oks_delta,1,1,5.0021,-0.175
rf,sis_delta,1,1,1.5334,-1.9244
rf,ohs_delta,1,1,1.6387,-1.3918
rf,oks_delta,1,1,5.3575,-0.3645
lgbm,sis_delta,1,1,2.1443,-4.0625
lgbm,ohs_delta,1,1,1.6785,-1.5079
lgbm,oks_delta,1,1,5.6734,-0.4425
baseline_naive_mean,sis_delta,2,2,2.5,-0.8829
baseline_naive_mean,ohs_delta,2,2,2.5588,-1.7756
baseline_naive_mean,oks_delta,2,2,4.9706,-3.4375
tuned_ridge,sis_delta,2,2,3.4157,-2.0928
tuned_ridge,ohs_delta,2,2,3.8428,-7.7426
tuned_ridge,oks_delta,2,2,10.1636,-15.8494
tuned_elasticnet,sis_delta,2,2,2.5528,-0.8945
tuned_elasticnet,ohs_delta,2,2,2.5028,-1.794
tuned_elasticnet,oks_delta,2,2,4.9721,-3.507
rf,sis_delta,2,2,2.6691,-0.9938
rf,ohs_delta,2,2,4.7505,-7.0565
rf,oks_delta,2,2,4.7676,-2.9639
lgbm,sis_delta,2,2,2.953,-1.1557
lgbm,ohs_delta,2,2,3.9264,-4.2845
lgbm,oks_delta,2,2,4.5064,-2.4605
baseline_naive_mean,sis_delta,3,3,1.5294,-3.4023
baseline_naive_mean,ohs_delta,3,3,1.2353,0.0
baseline_naive_mean,oks_delta,3,3,0.4706,0.0
tuned_ridge,sis_delta,3,3,1.9821,-7.1689
tuned_ridge,ohs_delta,3,3,2.5158,0.0
tuned_ridge,oks_delta,3,3,3.1199,0.0
tuned_elasticnet,sis_delta,3,3,1.4816,-3.284
tuned_elasticnet,ohs_delta,3,3,1.3207,0.0
tuned_elasticnet,oks_delta,3,3,0.5647,0.0
rf,sis_delta,3,3,1.4789,-3.5781
rf,ohs_delta,3,3,4.9858,0.0
rf,oks_delta,3,3,0.9466,0.0
lgbm,sis_delta,3,3,1.3099,-2.5087
lgbm,ohs_delta,3,3,3.3438,0.0
lgbm,oks_delta,3,3,1.517,0.0
baseline_naive_mean,sis_delta,4,4,0.4706,-1.1811
baseline_naive_mean,ohs_delta,4,4,1.6176,-1.0173
baseline_naive_mean,oks_delta,4,4,2.0,-0.1723
tuned_ridge,sis_delta,4,4,3.8652,-97.7805
tuned_ridge,ohs_delta,4,4,6.4502,-30.6726
tuned_ridge,oks_delta,4,4,2.9516,-1.0574
tuned_elasticnet,sis_delta,4,4,0.3127,-0.5209
tuned_elasticnet,ohs_delta,4,4,1.6648,-1.1634
tuned_elasticnet,oks_delta,4,4,2.0018,-0.1456
rf,sis_delta,4,4,0.5851,-2.0658
rf,ohs_delta,4,4,1.9322,-2.3525
rf,oks_delta,4,4,3.2474,-1.0039
lgbm,sis_delta,4,4,1.1778,-10.11
lgbm,ohs_delta,4,4,2.2104,-3.5364
lgbm,oks_delta,4,4,2.9718,-0.7477
baseline_naive_mean,sis_delta,5,5,0.5,-0.4187
baseline_naive_mean,ohs_delta,5,5,5.7353,-1.7143
baseline_naive_mean,oks_delta,5,5,1.5074,-0.4338
tuned_ridge,sis_delta,5,5,2.7805,-52.2093
tuned_ridge,ohs_delta,5,5,8.6797,-5.328
tuned_ridge,oks_delta,5,5,3.3389,-7.0474
tuned_elasticnet,sis_delta,5,5,0.533,-0.6211
tuned_elasticnet,ohs_delta,5,5,5.6925,-1.6933
tuned_elasticnet,oks_delta,5,5,1.6822,-0.5741
rf,sis_delta,5,5,0.8772,-3.1885
rf,ohs_delta,5,5,4.5131,-0.9802
rf,oks_delta,5,5,1.7471,-0.8246
lgbm,sis_delta,5,5,0.9766,-4.4922
lgbm,ohs_delta,5,5,5.8596,-1.7801
lgbm,oks_delta,5,5,2.8482,-2.7972
baseline_naive_mean,sis_delta,6,6,1.5294,-1.3861
baseline_naive_mean,ohs_delta,6,6,7.6176,-2.1367
baseline_naive_mean,oks_delta,6,6,8.0,-2.8444
tuned_ridge,sis_delta,6,6,3.8192,-9.7023
tuned_ridge,ohs_delta,6,6,6.9056,-1.3848
tuned_ridge,oks_delta,6,6,8.4785,-2.9705
tuned_elasticnet,sis_delta,6,6,1.4333,-1.2346
tuned_elasticnet,ohs_delta,6,6,7.5889,-2.1033
tuned_elasticnet,oks_delta,6,6,7.9733,-2.8058
rf,sis_delta,6,6,1.9256,-2.7294
rf,ohs_delta,6,6,7.6755,-2.1277
rf,oks_delta,6,6,7.3885,-2.1675
lgbm,sis_delta,6,6,2.2651,-3.3819
lgbm,ohs_delta,6,6,7.3765,-1.8143
lgbm,oks_delta,6,6,7.3357,-2.0809
baseline_naive_mean,sis_delta,7,7,3.1176,-1.2644
baseline_naive_mean,ohs_delta,7,7,2.25,-0.0671
baseline_naive_mean,oks_delta,7,7,1.0,-1.3333
tuned_ridge,sis_delta,7,7,2.5685,-0.1895
tuned_ridge,ohs_delta,7,7,5.4864,-8.3899
tuned_ridge,oks_delta,7,7,3.4403,-32.4766
tuned_elasticnet,sis_delta,7,7,2.978,-1.1503
tuned_elasticnet,ohs_delta,7,7,2.2442,-0.0489
tuned_elasticnet,oks_delta,7,7,1.0972,-1.6157
rf,sis_delta,7,7,2.7579,-0.7508
rf,ohs_delta,7,7,4.7052,-4.1878
rf,oks_delta,7,7,0.8765,-0.602
lgbm,sis_delta,7,7,2.9386,-0.9094
lgbm,ohs_delta,7,7,4.6709,-4.1092
lgbm,oks_delta,7,7,0.951,-0.9684
baseline_naive_mean,sis_delta,8,8,2.3235,-0.6352
baseline_naive_mean,ohs_delta,8,8,2.5,-0.0042
baseline_naive_mean,oks_delta,8,8,2.8529,-1.569
tuned_ridge,sis_delta,8,8,2.0388,-0.1746
tuned_ridge,ohs_delta,8,8,3.0305,-0.8898
tuned_ridge,oks_delta,8,8,3.3998,-2.3115
tuned_elasticnet,sis_delta,8,8,2.2911,-0.6175
tuned_elasticnet,ohs_delta,8,8,2.5,-0.0097
tuned_elasticnet,oks_delta,8,8,2.9672,-1.6972
rf,sis_delta,8,8,2.4477,-0.7861
rf,ohs_delta,8,8,2.4826,0.0144
rf,oks_delta,8,8,2.38,-1.0852
lgbm,sis_delta,8,8,3.4821,-1.4999
lgbm,ohs_delta,8,8,2.3991,0.0035
lgbm,oks_delta,8,8,2.5263,-1.2329
baseline_naive_mean,sis_delta,9,9,3.6471,-2.8376
baseline_naive_mean,ohs_delta,9,9,1.5,-0.1812
baseline_naive_mean,oks_delta,9,9,1.0,-0.1476
tuned_ridge,sis_delta,9,9,5.4429,-6.5319
tuned_ridge,ohs_delta,9,9,1.3597,-0.1471
tuned_ridge,oks_delta,9,9,3.8077,-12.76
tuned_elasticnet,sis_delta,9,9,3.6154,-2.7885
tuned_elasticnet,ohs_delta,9,9,1.5,-0.2337
tuned_elasticnet,oks_delta,9,9,1.0001,-0.2178
rf,sis_delta,9,9,4.6692,-4.8711
rf,ohs_delta,9,9,3.1515,-4.893
rf,oks_delta,9,9,1.4267,-1.3481
lgbm,sis_delta,9,9,5.2308,-6.5793
