model,target,mae_mean,mae_std,r2_mean,r2_std
baseline_demo_ridge,ohs,10.6666,7.5804,-51.6113,74.7098
baseline_demo_ridge,oks,10.2404,4.5991,-26.3609,36.7628
baseline_demo_ridge,sis,5.4452,3.2221,-53.0857,119.5744
baseline_naive_mean,ohs,6.4902,4.8083,-17.971,31.7647
baseline_naive_mean,oks,8.317,5.2923,-18.0817,27.5469
baseline_naive_mean,sis,3.288,1.6482,-17.8469,38.4337
lgbm,ohs,9.4328,6.2455,-43.1432,60.245
lgbm,oks,9.516,4.95,-22.2248,32.0928
lgbm,sis,3.1926,1.0643,-15.8733,30.1291
rf,ohs,8.7282,6.1448,-40.4895,61.149
rf,oks,9.2376,4.8198,-23.0324,40.5161
rf,sis,3.2562,1.2614,-16.0755,28.0209
ridge_sensor_demo,ohs,17.1153,12.3138,-160.8163,221.4925
ridge_sensor_demo,oks,17.5425,16.4766,-444.2093,1626.3791
ridge_sensor_demo,sis,5.9997,3.1533,-59.4433,105.9722
tuned_elasticnet,ohs,6.2264,4.5003,-17.2772,32.858
tuned_elasticnet,oks,8.0314,5.0764,-19.3758,34.0195
tuned_elasticnet,sis,3.4516,1.9074,-24.902,58.7344
tuned_ridge,ohs,13.0607,11.2227,-94.0297,127.6548
tuned_ridge,oks,13.6238,8.7365,-108.808,279.6106
tuned_ridge,sis,5.0422,2.6933,-41.8483,99.7417
