model,target,mae_mean,mae_std,r2_mean,r2_std
baseline_naive_mean,ohs_delta,2.855,1.8959,-0.7255,0.9731
baseline_naive_mean,oks_delta,3.3154,2.1037,-1.1872,1.0651
baseline_naive_mean,sis_delta,1.864,1.1347,-1.3149,1.053
lgbm,ohs_delta,3.6812,1.8625,-2.76,4.0299
lgbm,oks_delta,3.5771,2.015,-1.3947,1.1766
lgbm,sis_delta,2.571,1.102,-4.1806,4.4481
rf,ohs_delta,3.9106,1.7597,-3.4238,4.6079
rf,oks_delta,3.631,2.0201,-1.5697,1.2633
rf,sis_delta,2.2821,1.0352,-3.0621,3.6147
tuned_elasticnet,ohs_delta,2.8304,1.8781,-0.7506,1.0209
tuned_elasticnet,oks_delta,3.3538,2.0843,-1.2237,1.0801
tuned_elasticnet,sis_delta,1.8558,1.1967,-1.2801,1.125
tuned_ridge,ohs_delta,5.0284,2.1792,-9.3626,10.3239
tuned_ridge,oks_delta,7.1639,7.7829,-72.4956,280.3109
tuned_ridge,sis_delta,3.8914,2.9088,-36.7894,92.7713
