setting,target,model,average_rank,n_folds,n_models,friedman_p_value,nemenyi_cd_0.05
absolute_score,SIS,Naive Mean,2.4444,18,5,0.0543,1.4378
absolute_score,SIS,ElasticNet,2.7222,18,5,0.0543,1.4378
absolute_score,SIS,Random Forest,2.8889,18,5,0.0543,1.4378
absolute_score,SIS,LightGBM,3.0,18,5,0.0543,1.4378
absolute_score,SIS,Ridge (tuned),3.9444,18,5,0.0543,1.4378
absolute_score,OHS,ElasticNet,1.9444,18,5,0.0002,1.4378
absolute_score,OHS,Naive Mean,2.2222,18,5,0.0002,1.4378
absolute_score,OHS,Random Forest,3.1667,18,5,0.0002,1.4378
absolute_score,OHS,LightGBM,3.7778,18,5,0.0002,1.4378
absolute_score,OHS,Ridge (tuned),3.8889,18,5,0.0002,1.4378
absolute_score,OKS,ElasticNet,2.5556,18,5,0.0573,1.4378
absolute_score,OKS,Random Forest,2.6111,18,5,0.0573,1.4378
absolute_score,OKS,LightGBM,2.8333,18,5,0.0573,1.4378
absolute_score,OKS,Naive Mean,3.0556,18,5,0.0573,1.4378
absolute_score,OKS,Ridge (tuned),3.9444,18,5,0.0573,1.4378
delta_target,SIS Delta,ElasticNet,2.0,18,5,0.0,1.4378
delta_target,SIS Delta,Naive Mean,2.1111,18,5,0.0,1.4378
delta_target,SIS Delta,Random Forest,2.9444,18,5,0.0,1.4378
delta_target,SIS Delta,LightGBM,3.6667,18,5,0.0,1.4378
delta_target,SIS Delta,Ridge (tuned),4.2778,18,5,0.0,1.4378
delta_target,OHS Delta,Naive Mean,2.3333,18,5,0.011,1.4378
delta_target,OHS Delta,ElasticNet,2.3333,18,5,0.011,1.4378
delta_target,OHS Delta,LightGBM,3.1111,18,5,0.011,1.4378
delta_target,OHS Delta,Random Forest,3.3333,18,5,0.011,1.4378
delta_target,OHS Delta,Ridge (tuned),3.8889,18,5,0.011,1.4378
delta_target,OKS Delta,Naive Mean,2.2778,18,5,0.0002,1.4378
delta_target,OKS Delta,LightGBM,2.5,18,5,0.0002,1.4378
delta_target,OKS Delta,ElasticNet,2.8333,18,5,0.0002,1.4378
delta_target,OKS Delta,Random Forest,2.8889,18,5,0.0002,1.4378
delta_target,OKS Delta,Ridge (tuned),4.5,18,5,0.0002,1.4378
